arm	condition	artifact_path	SHA-256	row_count	ordered_ID_hash	source_frame_count	hardware_runtime_lineage	runner_artifact_family	status
plain	source	./reports/runs/_meta/sufficiency_battery/20260625_201107/plain_examples.csv	bc6ce9c30f91c313ec40bb26e4c706768f78f243c36c096eeab8ac6bdc09a92a	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
plain	grey	./reports/runs/_meta/sufficiency_battery/20260625_201107/plain_examples.csv	bc6ce9c30f91c313ec40bb26e4c706768f78f243c36c096eeab8ac6bdc09a92a	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
plain	mask	./reports/runs/_meta/sufficiency_battery/20260625_201107/plain_examples.csv	bc6ce9c30f91c313ec40bb26e4c706768f78f243c36c096eeab8ac6bdc09a92a	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
plain	noise	./reports/runs/_meta/sufficiency_battery/20260625_201107/plain_examples.csv	bc6ce9c30f91c313ec40bb26e4c706768f78f243c36c096eeab8ac6bdc09a92a	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
plain	mirror	./reports/runs/_meta/sufficiency_battery/20260625_201107/plain_examples.csv	bc6ce9c30f91c313ec40bb26e4c706768f78f243c36c096eeab8ac6bdc09a92a	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
plain	mismatch	data/external/execution/v11-final-2653-20260830-f8349fa0/shards/stage1_wrong/plain/worker_0/records.jsonl	013e98dc586ab044d7e54579ebf66569b2bf9d917fb4f43e0ab992d9bf63c398	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; final v11 Option-B wrong-only production lineage; batch size 2	frozen production_stage1_wrong_runner.py; output schema stage1_wrong.v1	FINAL_OPTION_B
point	source	./reports/runs/_meta/sufficiency_battery/20260625_201107/point_examples.csv	e5431fa4f9ff4007f2d0f7df65aed9302f12a5da6211f61db8cc1e07acff1015	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
point	grey	./reports/runs/_meta/sufficiency_battery/20260625_201107/point_examples.csv	e5431fa4f9ff4007f2d0f7df65aed9302f12a5da6211f61db8cc1e07acff1015	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
point	mask	./reports/runs/_meta/sufficiency_battery/20260625_201107/point_examples.csv	e5431fa4f9ff4007f2d0f7df65aed9302f12a5da6211f61db8cc1e07acff1015	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
point	noise	./reports/runs/_meta/sufficiency_battery/20260625_201107/point_examples.csv	e5431fa4f9ff4007f2d0f7df65aed9302f12a5da6211f61db8cc1e07acff1015	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
